SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
5000,STG,0.4728349491402755,-0.9632242866706897,-0.7106770526485967,0.3324295441110281,3,0,2,0,1,1,1,1
5000,IFG,-0.35526613504202575,0.8627436212377807,-0.979763124080928,0.20438381427168933,2,0,3,0,1,1,1,1
7500,STG,-0.2633536553558587,-0.7945602280309368,0.9585941540733995,0.3211996634286812,3,0,2,0,1,1,1,1
7500,IFG,-0.055040204668903525,-0.839715315484829,-0.41032508902928416,0.3834314217475187,2,0,3,0,1,1,1,1
10000,STG,0.5560405007672198,-0.9339834039866809,0.947001084270908,0.3417171650341203,3,0,2,0,1,1,1,1
10000,IFG,0.6280760499634833,0.019482685806480923,-0.9129917022875065,0.25445549438231596,2,0,3,0,1,1,1,1
1,STG,-0.041568445172813995,-0.35805200552613764,0.6298639805966073,0.5812530167701944,3,0,2,0,1,1,1,1
1,IFG,-0.6523321167783447,0.8454010132600875,-0.05129049071936942,1.7885427376331573,2,0,3,0,1,1,1,1
5,STG,0.7586241719349277,-0.20227271246161133,0.4443884272295058,1.7724742647536789,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,0.6987663069263315,-0.1821148650274369,0.028749927488643162,1.9434326067814949,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,-0.6404493961410949,0.3233678463552238,-0.5359339840155692,1.8061745810344527,0,0,2,3,NaN,0,NaN,0.4
10,IFG,-0.269523933446687,0.3500950156100635,0.39255351008061845,0.7974972051077939,2,3,0,0,0.4,1,0.5714285714285714,0.4
50,STG,0.931685411309513,-0.15510356902031278,-0.7095215932689047,1.1164346914656944,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.06063735098597394,-0.37429523907619944,0.06527980286803975,0.5375681773911613,0,0,3,2,NaN,0,NaN,0.6
100,STG,0.8099803870854608,0.43683200790324533,0.9299223430403336,0.4761777448759417,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,0.1602648283083009,0.4771505092044813,-0.8941964958047066,0.3461050479751541,2,0,3,0,1,1,1,1
500,STG,0.9462520737601872,0.2668127356713387,0.14186092915492488,1.45414886230067,3,2,0,0,0.6,1,0.7499999999999999,0.6
500,IFG,-0.4498615704596607,-0.017288252988031896,0.8153933747831263,0.3914728413472684,0,0,3,2,NaN,0,NaN,0.6
1000,STG,0.6514271892482563,0.3019429116050422,0.26738412213102475,0.42963782944111556,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.39091520770420946,0.9298983063183546,-0.9629350841734979,0.32550513522163244,2,0,3,0,1,1,1,1
2500,STG,-0.3297240005629819,-0.9052844297409286,0.7573979526203767,0.3017524978021732,3,0,2,0,1,1,1,1
2500,IFG,-0.9814797472597387,-0.521535749704017,-0.6026250828460904,0.28578023780450995,2,3,0,0,0.4,1,0.5714285714285714,0.4
